,Hurst,Distribution,ACF_annealed,wACF_annealed,R2 Score,ACF_quenched,wACF_quenched
RNN,& 0.485 $\pm$ 0.118,& 0.697 $\pm$ 0.024,&1.230,&0.665,& -1.157 $\pm$ 0.190,& 0.878 $\pm$ 0.031,& 0.878 $\pm$ 0.031
SDE,& 0.559 $\pm$ 0.155,& 1.490 $\pm$ 0.058,&1.992,&1.319,& -0.024 $\pm$ 0.024,& 1.627 $\pm$ 0.576,& 1.627 $\pm$ 0.576
fSDE,& 0.599 $\pm$ 0.163,& 1.813 $\pm$ 0.010,&1.567,&1.035,& -0.001 $\pm$ 0.005,& 1.027 $\pm$ 0.607,& 1.027 $\pm$ 0.607
ArmaSDE,& 0.401 $\pm$ 0.125,& 0.896 $\pm$ 0.029,&1.274,&0.717,& -0.219 $\pm$ 0.071,& 0.913 $\pm$ 0.132,& 0.913 $\pm$ 0.132
NNKernelArmaSDE,& 0.390 $\pm$ 0.174,& 0.797 $\pm$ 0.100,&1.372,&0.803,& -0.378 $\pm$ 0.132,& 1.028 $\pm$ 0.249,& 1.028 $\pm$ 0.249
Original,& 0.258,& -,& -,& -,& -,& -,& -
