,Hurst,Distribution,ACF_annealed,wACF_annealed,R2 Score,ACF_quenched,wACF_quenched
RNN,& 0.462 $\pm$ 0.131,& 1.755 $\pm$ 0.018,&2.611,&1.343,& -484.276 $\pm$ 42.509,& 2.421 $\pm$ 0.029,& 2.421 $\pm$ 0.029
SDE,& 0.231 $\pm$ 0.153,& 0.565 $\pm$ 0.030,&2.684,&1.403,& -3.489 $\pm$ 0.465,& 2.383 $\pm$ 0.064,& 2.383 $\pm$ 0.064
fSDE,& 0.682 $\pm$ 0.121,& 0.763 $\pm$ 0.262,&2.925,&1.649,& -1.785 $\pm$ 1.098,& 2.222 $\pm$ 0.421,& 2.222 $\pm$ 0.421
ArmaSDE,& 0.339 $\pm$ 0.135,& 0.493 $\pm$ 0.030,&2.611,&1.336,& -2.569 $\pm$ 0.311,& 2.368 $\pm$ 0.042,& 2.368 $\pm$ 0.042
Original,& 0.322,& -,& -,& -,& -,& -,& -
