,Hurst,Distribution,ACF_annealed,wACF_annealed,R2 Score,ACF_quenched,wACF_quenched
RNN,& 0.465 $\pm$ 0.130,& 0.606 $\pm$ 0.024,&1.237,&0.706,& -0.663 $\pm$ 0.110,& 0.926 $\pm$ 0.023,& 0.926 $\pm$ 0.023
SDE,& 0.550 $\pm$ 0.141,& 0.573 $\pm$ 0.087,&1.725,&1.311,& -0.521 $\pm$ 0.365,& 1.456 $\pm$ 0.521,& 1.456 $\pm$ 0.521
fSDE,& 0.591 $\pm$ 0.145,& 0.582 $\pm$ 0.023,&1.242,&0.707,& -0.522 $\pm$ 0.106,& 0.938 $\pm$ 0.025,& 0.938 $\pm$ 0.025
ArmaSDE,& 0.548 $\pm$ 0.164,& 0.524 $\pm$ 0.165,&2.566,&1.925,& -0.662 $\pm$ 0.397,& 2.101 $\pm$ 1.299,& 2.101 $\pm$ 1.299
NNKernelArmaSDE,& 0.686 $\pm$ 0.192,& 0.441 $\pm$ 0.178,&2.379,&1.663,& -0.572 $\pm$ 0.472,& 2.319 $\pm$ 0.918,& 2.319 $\pm$ 0.918
Original,& 0.344,& -,& -,& -,& -,& -,& -
