,Hurst,Distribution,ACF_annealed,wACF_annealed,R2 Score,ACF_quenched,wACF_quenched
ArmaSDE,& 0.688 $\pm$ 0.207,& 0.239 $\pm$ 0.122,&2.940,&2.086,& -1.569 $\pm$ 0.411,& 2.247 $\pm$ 1.115,& 2.247 $\pm$ 1.115
Original,& 0.423,& -,& -,& -,& -,& -,& -
