,Hurst,Distribution,ACF_annealed,wACF_annealed,R2 Score,ACF_quenched,wACF_quenched
RNN,& 0.475 $\pm$ 0.110,& 1.377 $\pm$ 0.012,&2.717,&1.340,& -64.283 $\pm$ 5.890,& 2.622 $\pm$ 0.012,& 2.622 $\pm$ 0.012
SDE,& 0.466 $\pm$ 0.118,& 0.211 $\pm$ 0.030,&2.758,&1.377,& -3.049 $\pm$ 0.802,& 2.861 $\pm$ 0.096,& 2.861 $\pm$ 0.096
fSDE,& 0.673 $\pm$ 0.138,& 1.188 $\pm$ 0.075,&3.089,&1.722,& -0.059 $\pm$ 0.040,& 2.797 $\pm$ 0.513,& 2.797 $\pm$ 0.513
ArmaSDE,& 0.492 $\pm$ 0.103,& 0.369 $\pm$ 0.032,&2.726,&1.347,& -4.933 $\pm$ 1.217,& 2.848 $\pm$ 0.042,& 2.848 $\pm$ 0.042
Original,& 0.614,& -,& -,& -,& -,& -,& -
