,Hurst,Distribution,ACF_annealed,wACF_annealed,R2 Score,ACF_quenched,wACF_quenched
RNN,& 0.467 $\pm$ 0.125,& 0.236 $\pm$ 0.024,&1.224,&0.689,& -0.943 $\pm$ 0.163,& 0.869 $\pm$ 0.026,& 0.869 $\pm$ 0.026
SDE,& 0.491 $\pm$ 0.136,& 0.268 $\pm$ 0.065,&1.384,&0.900,& -0.751 $\pm$ 0.343,& 0.984 $\pm$ 0.289,& 0.984 $\pm$ 0.289
fSDE,& 0.599 $\pm$ 0.157,& 0.445 $\pm$ 0.127,&1.504,&0.941,& -0.489 $\pm$ 0.164,& 1.066 $\pm$ 0.557,& 1.066 $\pm$ 0.557
ArmaSDE,& 0.515 $\pm$ 0.158,& 0.319 $\pm$ 0.148,&1.833,&1.143,& -0.974 $\pm$ 0.431,& 1.296 $\pm$ 0.825,& 1.296 $\pm$ 0.825
NNKernelArmaSDE,& 0.458 $\pm$ 0.175,& 0.361 $\pm$ 0.179,&1.951,&1.408,& -0.976 $\pm$ 0.540,& 1.419 $\pm$ 0.783,& 1.419 $\pm$ 0.783
Original,& 0.555,& -,& -,& -,& -,& -,& -
