,Hurst,Distribution,ACF_annealed,wACF_annealed,R2 Score,ACF_quenched,wACF_quenched
RNN,& 0.464 $\pm$ 0.111,& 0.615 $\pm$ 0.024,&1.215,&0.633,& -1.086 $\pm$ 0.180,& 0.879 $\pm$ 0.027,& 0.879 $\pm$ 0.027
SDE,& 0.463 $\pm$ 0.132,& 1.058 $\pm$ 0.024,&1.220,&0.639,& -0.121 $\pm$ 0.044,& 0.882 $\pm$ 0.029,& 0.882 $\pm$ 0.029
fSDE,& 0.581 $\pm$ 0.144,& 1.518 $\pm$ 0.013,&1.220,&0.638,& -0.017 $\pm$ 0.018,& 0.875 $\pm$ 0.033,& 0.875 $\pm$ 0.033
ArmaSDE,& 0.426 $\pm$ 0.127,& 0.626 $\pm$ 0.025,&1.217,&0.635,& -0.640 $\pm$ 0.125,& 0.874 $\pm$ 0.031,& 0.874 $\pm$ 0.031
NNKernelArmaSDE,& 0.453 $\pm$ 0.133,& 1.094 $\pm$ 0.070,&1.276,&0.727,& -0.109 $\pm$ 0.049,& 0.948 $\pm$ 0.183,& 0.948 $\pm$ 0.183
Original,& 0.202,& -,& -,& -,& -,& -,& -
