,Hurst,Distribution,ACF_annealed,wACF_annealed,R2 Score,ACF_quenched,wACF_quenched
RNN,& 0.453 $\pm$ 0.119,& 0.256 $\pm$ 0.022,&1.210,&0.650,& -0.876 $\pm$ 0.160,& 0.858 $\pm$ 0.030,& 0.858 $\pm$ 0.030
SDE,& 0.290 $\pm$ 0.218,& 0.404 $\pm$ 0.061,&2.331,&1.735,& -2.836 $\pm$ 0.998,& 1.980 $\pm$ 0.487,& 1.980 $\pm$ 0.487
fSDE,& 0.574 $\pm$ 0.172,& 0.650 $\pm$ 0.055,&1.273,&0.750,& -0.269 $\pm$ 0.084,& 0.909 $\pm$ 0.195,& 0.909 $\pm$ 0.195
ArmaSDE,& 0.545 $\pm$ 0.132,& 0.308 $\pm$ 0.057,&1.652,&1.204,& -0.737 $\pm$ 0.478,& 1.257 $\pm$ 0.469,& 1.257 $\pm$ 0.469
NNKernelArmaSDE,& 0.453 $\pm$ 0.113,& 0.262 $\pm$ 0.024,&1.215,&0.661,& -0.923 $\pm$ 0.202,& 0.858 $\pm$ 0.031,& 0.858 $\pm$ 0.031
Original,& 0.445,& -,& -,& -,& -,& -,& -
