,Hurst,Distribution,ACF_annealed,wACF_annealed,R2 Score,ACF_quenched,wACF_quenched
RNN,& 0.471 $\pm$ 0.133,& 1.203 $\pm$ 0.026,&1.621,&0.843,& -28.236 $\pm$ 2.670,& 1.367 $\pm$ 0.030,& 1.367 $\pm$ 0.030
SDE,& 1.010 $\pm$ 0.063,& 0.375 $\pm$ 0.046,&3.966,&2.078,& -0.064 $\pm$ 0.041,& 3.325 $\pm$ 0.874,& 3.325 $\pm$ 0.874
fSDE,& 0.776 $\pm$ 0.147,& 0.190 $\pm$ 0.035,&2.144,&1.203,& -2.403 $\pm$ 0.764,& 1.388 $\pm$ 0.270,& 1.388 $\pm$ 0.270
ArmaSDE,& 0.761 $\pm$ 0.142,& 0.208 $\pm$ 0.030,&1.755,&0.917,& -2.812 $\pm$ 0.307,& 1.230 $\pm$ 0.107,& 1.230 $\pm$ 0.107
NNKernelArmaSDE,& 0.383 $\pm$ 0.178,& 0.188 $\pm$ 0.071,&2.779,&1.682,& -2.971 $\pm$ 2.293,& 2.102 $\pm$ 0.557,& 2.102 $\pm$ 0.557
Original,& 0.587,& -,& -,& -,& -,& -,& -
