,Date,fOU_H0.7,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44,45,46,47,48,49,50,51,52,53,54,55,56,57,58,59,60,61,62,63,64,65,66,67,68,69,70,71,72,73,74,75,76,77,78,79,80,81,82,83,84,85,86,87,88,89,90,91,92,93,94,95,96,97,98,99
0,0.0,0.37730294,0.37730294,0.37730294,0.37730294,0.37730294,0.37730294,0.37730294,0.37730294,0.37730294,0.37730294,0.37730294,0.37730294,0.37730294,0.37730294,0.37730294,0.37730294,0.37730294,0.37730294,0.37730294,0.37730294,0.37730294,0.37730294,0.37730294,0.37730294,0.37730294,0.37730294,0.37730294,0.37730294,0.37730294,0.37730294,0.37730294,0.37730294,0.37730294,0.37730294,0.37730294,0.37730294,0.37730294,0.37730294,0.37730294,0.37730294,0.37730294,0.37730294,0.37730294,0.37730294,0.37730294,0.37730294,0.37730294,0.37730294,0.37730294,0.37730294,0.37730294,0.37730294,0.37730294,0.37730294,0.37730294,0.37730294,0.37730294,0.37730294,0.37730294,0.37730294,0.37730294,0.37730294,0.37730294,0.37730294,0.37730294,0.37730294,0.37730294,0.37730294,0.37730294,0.37730294,0.37730294,0.37730294,0.37730294,0.37730294,0.37730294,0.37730294,0.37730294,0.37730294,0.37730294,0.37730294,0.37730294,0.37730294,0.37730294,0.37730294,0.37730294,0.37730294,0.37730294,0.37730294,0.37730294,0.37730294,0.37730294,0.37730294,0.37730294,0.37730294,0.37730294,0.37730294,0.37730294,0.37730294,0.37730294,0.37730294,0.37730294
1,0.001,0.30614763,0.34413448,0.4496245,0.30715916,0.41381657,0.5243884,0.76583326,0.3468158,0.2346152,0.2737299,0.30307195,0.20228444,0.37643632,0.5262538,0.50373834,0.26185393,0.22998738,-0.051442917,0.44256264,0.4936952,0.59549916,0.27419913,0.26946333,0.3271541,0.38119203,0.6703916,0.3755041,0.23843758,0.01924552,0.019956514,0.26663858,0.32868728,0.033033073,0.15562168,0.47988042,0.52915215,0.57626325,0.18106814,0.53407896,0.41306943,0.21707645,0.52264,0.4815706,0.4268652,0.80346274,0.13464361,0.4933015,0.15861152,0.3954419,0.17817876,0.20184039,0.29258746,0.60493815,0.28972602,0.39792427,0.27354178,0.29475465,0.20255889,0.39460698,0.36994565,0.2981029,0.5252137,0.5275952,0.3691839,0.43104008,0.3919532,0.51288915,0.24834839,0.26364994,0.27201596,0.0842444,0.29241583,0.1883164,0.40728727,0.32719362,0.57593733,0.22955178,0.60595727,0.37683666,0.28398505,0.17363617,0.43885148,0.29824424,0.77463377,0.28909856,0.25352502,0.42765802,0.30490723,0.72940516,0.3831721,0.23417664,0.67100304,0.5571354,0.041374598,0.45232853,0.49029008,0.3358887,0.20729977,0.23576438,0.31100875,0.08327916
2,0.002,0.2894981,0.39684516,0.6217944,0.23349117,0.45736435,0.7708074,0.8771517,0.5243809,0.11105298,0.23497751,0.47854054,0.33224064,0.29329494,0.6443309,0.2656658,0.20251513,0.21053883,-0.22436881,0.23317987,0.23846205,0.79440117,0.4598384,0.6330335,0.51376635,0.38034895,0.39163184,-0.09300384,0.3072552,0.09085518,-0.028837949,0.14109127,0.5141328,-0.10517573,0.10061413,0.61504877,0.64651906,0.27708176,0.0082951635,0.39496836,0.49192804,0.07329613,0.4903685,0.64869356,0.40685815,0.5902704,-0.11472258,0.2766601,-0.09169648,0.72737265,0.341352,0.46781644,0.25337827,0.48188838,0.47651836,0.003945768,0.52761316,0.57976055,-0.46805903,0.2200759,0.28960675,0.14892493,0.6356919,0.665002,0.21032241,0.63401836,0.48708647,0.11229129,0.58350456,0.4412981,0.18592238,0.39601296,0.22689281,0.34993145,0.2844629,0.39950624,0.8336205,0.3017496,0.3969307,0.6555936,0.025057033,0.16478938,0.30892968,0.028827168,0.3661378,0.5385352,0.28380466,0.3630175,0.22544575,0.599047,0.6459967,0.32394165,0.15601896,0.38367862,0.05599334,0.6949764,0.7099885,0.4517386,0.21127626,-0.06895824,0.21758032,0.43590415
3,0.003,0.2810283,0.31735438,0.38503405,0.2810622,0.44714695,0.91205204,0.5913882,0.42793134,0.09047474,0.6797089,0.28269413,0.33681133,0.5131582,0.33989343,0.26655236,-0.13432257,0.3197327,0.15009359,0.18846348,-0.01186971,1.2434123,0.61944693,0.6305956,0.5735155,0.21799436,0.34663802,-0.079547375,-0.16300529,0.34647238,-0.16450056,-0.13457322,0.70036346,-0.4043411,0.25729585,0.5091071,0.411022,0.14341196,-0.2796746,0.5943077,0.47255927,0.00013471209,0.3393576,0.7370041,0.3162802,0.43885976,-0.029401803,0.29480755,-0.27166286,0.7260045,0.20826823,0.66038936,0.48506585,0.71534514,0.2655796,0.31451702,0.6483216,0.99071455,-0.54568917,0.5908248,0.27009302,-0.072766215,0.5896308,0.45612854,0.28872627,0.552954,0.34459025,0.5324111,0.49347752,0.7528725,0.123667754,0.60039514,0.20111032,0.19195741,-0.025685988,0.5787596,0.9649561,0.48896673,0.34801546,0.6164441,0.12926793,0.29768568,0.032653395,0.17365496,0.20310265,0.70776194,0.14394581,0.25893557,0.26333416,0.9180705,0.6717679,0.27725244,-0.19548827,0.51031905,0.13051799,0.73432195,0.52188194,0.62324315,0.2912051,-0.30438215,0.34174007,0.19947587
4,0.004,0.33336022,0.40277,0.5921145,0.29682323,0.6540009,0.5239295,0.7749189,0.28958935,-0.06515417,0.7692671,0.19778052,0.34209788,0.53482485,0.011555992,0.41377354,-0.23383015,0.38450044,0.39331025,0.4493966,0.10011023,1.2555214,0.58768755,0.43472478,0.9985363,0.2317223,0.2139802,0.0967391,-0.3944956,0.34788045,-0.12177287,-0.13679555,0.6632856,-0.61868453,0.061319627,0.48976552,0.43932787,0.39179367,-0.11540261,0.50598156,0.46833694,-0.25802433,0.24196404,1.1741141,0.33037552,0.23496285,-0.32357228,0.20112282,-0.40566254,0.63077533,0.4047264,0.53553504,0.7104911,0.6803977,0.60535395,0.42278075,0.78162575,1.07868,-0.49798006,0.67745787,0.2855801,-0.21230915,0.8000059,0.3824767,0.24387094,0.7185102,0.37776852,0.26220855,0.6127262,0.6651822,-0.301833,0.4664537,0.011564828,-0.1733026,0.021478385,0.82244354,1.071257,0.17149961,0.34635016,0.67617923,0.043570668,0.25005415,-0.30600178,0.6532009,0.31144428,0.91478634,0.35685712,0.45537925,0.23637916,0.8905713,0.53375864,0.1790926,-0.3522781,0.5267021,-0.13445988,0.9830003,0.3210808,0.8166991,0.3518562,-0.524691,0.35132617,0.123910755
5,0.005,0.39830923,0.52656525,0.42750525,0.36289027,0.7455691,0.33032745,0.52100354,0.40467384,-0.19190729,0.661034,-0.11793027,0.3510211,0.55181164,-0.08877502,0.34372124,0.16298857,0.044644378,0.470815,0.6970226,0.2078411,0.8202776,0.925057,0.18977323,1.0211377,0.4562084,0.2645468,0.15423943,-0.75604635,0.2218204,-0.21423912,0.07524599,0.80563915,-0.57545376,0.09000697,0.59587365,0.70466375,0.5888644,-0.31580174,0.23379846,0.3064724,-0.47237855,0.04948277,1.4174916,0.35777533,0.24410442,-0.17381865,0.22284822,0.0087785125,0.3245678,0.78540313,0.6021311,0.5535077,0.7445871,0.25230035,0.3925363,0.6850552,1.1962615,-0.26783264,0.8221428,0.33538246,0.09857212,0.32254413,0.029606357,0.44876853,1.0253909,0.070343666,0.5180187,0.66005135,0.65712,-0.3593793,0.5329523,0.2954154,-0.26755822,0.2721283,1.1810565,1.0085946,0.0010038437,0.51417464,0.80533785,0.22097784,0.13093056,-0.16994345,0.7687028,0.4569729,1.0020411,0.25079355,0.49551427,0.061600417,0.703206,0.9832329,0.35886946,-0.09166829,0.65462124,-0.576293,0.9056489,0.54602224,0.78240275,0.14313735,-0.4038678,0.2421416,0.12200548
6,0.006,0.4703133,0.616202,0.039227515,0.55690193,0.8194581,0.42838335,0.62919617,0.34531388,-0.19897535,0.46015325,0.03996543,0.31083605,0.26228654,-0.19493856,0.3461561,0.43703797,-0.058596347,0.7724144,0.47229177,0.019271094,1.1197301,0.69354254,0.1526053,0.72902817,0.22721563,0.22235295,0.4576869,-0.7332585,0.04926434,-0.073770024,-0.078763634,0.60660404,-0.3416174,0.07053393,0.71608204,0.30690172,0.28205103,-0.11627378,0.49801975,0.38670588,-0.5302092,0.25973374,1.2369248,0.20550866,0.10557767,-0.10732783,0.5104091,-0.13863336,0.36220595,0.607481,0.9243851,0.6777254,0.6997382,0.07875038,0.6267198,0.4890954,1.2796911,-0.06910215,1.1369619,0.5888654,0.030407492,0.12069689,0.35544223,0.36524084,0.9520188,0.23304282,0.5075796,0.88462967,0.5936461,-0.30840343,0.35186052,0.18119109,-0.046665274,-0.15336952,1.1008477,0.82677394,0.05067771,0.6393229,0.6283229,0.48430857,0.010328419,-0.19579676,0.77161926,0.29778904,0.88280135,0.5050115,0.78649294,-0.0984428,0.33421373,0.9361847,0.27973372,-0.08473269,0.7316729,-0.82119185,0.9673013,0.6581292,0.891927,0.26220837,-0.5082637,0.29932576,-0.07894859
7,0.007,0.44748554,0.8017314,0.06459262,0.49860322,1.0245221,0.53794706,0.81316495,0.068643615,-0.052754797,0.487444,0.18574789,0.38559997,0.23737854,-0.12253672,0.5982239,0.78537935,0.15044737,0.3241726,0.7763546,-0.18970075,1.2160462,0.93864447,-0.23792979,0.85423326,0.34883264,0.25558645,0.44926032,-0.78985244,-0.3757999,-0.012240704,-0.0036164597,0.5367372,-0.3574495,-0.13121301,0.64390147,0.33164933,0.31457254,-0.11982257,0.528481,0.6364408,-0.5801569,-0.11687444,1.1223053,0.25669885,-0.058009833,-0.32503885,0.7560132,-0.3938066,0.08872471,0.6737476,0.8845631,0.8528775,0.7999796,0.39955264,0.56963634,0.6394951,1.5023046,-0.10852595,0.93679434,0.3308545,0.10575179,0.5973974,0.30979863,0.64522755,0.6332288,0.28926787,0.16634418,0.8252655,0.353319,-0.27061477,0.6505203,0.11032273,0.110307224,-0.08699344,1.1714786,1.0472324,-0.32493955,0.34907597,0.72241485,0.54796267,0.03793247,-0.33148557,0.7936021,0.14725257,0.90290165,0.34247306,0.90012616,-0.19584684,0.43278688,1.0452222,0.11475902,0.15987399,0.8638921,-0.93863076,0.83530015,0.79362184,0.8442046,0.20684418,-0.6932927,0.1950934,0.13300167
8,0.008,0.50912297,1.1598655,-0.17997241,0.41430706,1.0879407,0.21001917,0.7887169,0.14236209,0.07926197,0.8089,-0.04678358,0.7338608,0.80804855,0.18637058,0.44631878,0.78052264,0.18521045,0.3712926,0.47900343,-0.079939224,1.1638238,0.660643,-0.23031354,0.78209275,0.46345475,0.32346618,0.24009833,-0.55590415,-0.21998222,-0.16147909,-0.14076322,0.46740928,-0.5043572,-0.09922455,0.6939107,0.58247715,0.091088206,-0.14646004,0.21637456,0.61331874,-0.8609661,-0.13763139,0.9113354,0.4393618,-0.051489733,-0.63371956,0.83730114,-0.37389392,-0.23233542,0.77186185,1.1384002,0.90518206,0.7853246,0.48399284,0.4472965,0.30271372,1.0434308,-0.3584115,1.098281,0.4774119,-0.19212207,0.5728039,0.31307408,0.32714897,0.6638891,0.2383261,-0.052334815,0.9619331,0.30805197,-0.28740123,0.66184217,0.016771551,0.25852984,-0.057014737,1.4762943,1.2244737,-0.5092912,0.11094363,0.9731729,0.56382924,-0.15601966,-0.717272,0.89597267,0.03523141,0.68336034,0.5676192,0.9343285,-0.21872005,0.2671017,1.0355926,0.0883772,0.061294198,1.0736988,-0.6558956,0.64716995,0.74416995,0.9382639,0.10981205,-0.634325,0.4104066,0.016363949
9,0.009,0.5136927,1.1017461,-0.5108665,0.45072207,0.9659021,0.53383243,0.67770755,0.09746152,-0.17957032,0.78266865,-0.052376293,0.6062544,0.27785185,0.21537077,0.706826,0.6323892,0.17556211,0.39394796,0.81692135,-0.30299786,1.039584,0.74944335,-0.27517593,0.63547057,0.14308777,0.27614862,0.5320817,-0.3869133,-0.19739637,-0.4441421,0.10720738,0.46283722,-0.2387761,-0.26104146,0.73422,0.3865552,-0.04020177,-0.23985457,0.5458245,0.52928543,-0.7888151,-0.19046032,0.8373331,0.7614249,0.045091867,-0.8134798,0.8078072,-0.33351517,-0.39379036,0.7602228,1.2307857,0.6509634,0.7528809,0.18613277,0.2027333,0.76582557,0.9056063,-0.45304242,1.1051064,0.68467695,-0.10618487,0.7753272,0.34822875,0.35284895,0.78702074,0.10069016,-0.19533116,1.2617108,0.57042444,-0.25759438,0.118678086,0.2779982,0.34003383,-0.24424274,1.5456004,1.2329789,-0.27006832,-0.25770235,1.1019989,0.49950767,-0.12793197,-0.7717394,0.9777147,0.28755414,0.47907737,0.46965238,0.82176363,-0.03647516,0.52595776,0.9320483,0.20159255,0.0038090795,1.0836471,-0.608108,0.71922106,0.6792015,0.70651114,-0.16416304,-0.75399625,0.16919173,-0.30468982
10,0.01,0.45583797,1.1844862,-0.6550884,0.30889562,0.7866545,0.47973937,0.30732736,0.06645652,0.10099815,0.76204675,-0.1158396,0.58397675,0.44273648,0.23061422,0.6470649,0.74571294,0.14283642,0.44941026,0.8938424,-0.48914725,0.88525534,0.88872546,-0.21183637,0.68465257,-0.05370325,0.23184739,0.4060434,-0.4436753,-0.14701512,-0.49750233,0.15971653,0.25614718,-0.120663285,-0.42502302,0.70048153,0.21291615,-0.22014411,-0.10825535,0.3690511,0.25503224,-1.1016788,0.17502108,0.49571082,0.43660164,-0.25530925,-0.9351743,1.0876343,-0.4364383,-0.7352216,0.73052764,0.89070386,0.6695656,0.39347875,0.020394485,0.28334677,0.6144026,0.88527423,-0.5139432,1.1983919,0.61587065,0.22518438,0.7747368,0.4889933,0.3658594,0.77783453,-0.038838014,-0.08000764,1.5370458,0.48330706,-0.38562307,-0.08894065,0.28402174,-0.031195782,-0.20518638,1.5279312,1.568713,-0.14429761,0.032806113,0.95324975,0.38001072,-0.17247425,-0.8816775,1.0257375,0.60415673,0.41205445,0.4498032,0.87161845,0.2083074,0.039052293,1.0179809,-0.018305495,0.0604491,0.9721353,-0.514522,0.5261101,0.6540563,0.6526505,-0.37091985,-0.6468072,0.19705166,-0.15029186
11,0.011,0.45597786,1.343797,-0.7702543,0.3176726,0.97492325,0.55891937,0.23294812,-0.045211792,-0.15223831,0.74115986,0.16220087,0.40982193,0.4004692,-0.035685632,1.0624356,0.6311128,-0.28609374,0.5143388,1.2580812,-0.29622242,1.0665796,0.94802284,-0.008540113,0.58284926,-0.13808285,0.31072986,0.15911692,-0.6101334,0.025687886,-0.36449113,0.028948732,0.25067744,0.22160584,-0.14930728,0.46363232,-0.22595985,0.011988282,-0.4368607,0.39697215,0.28987432,-1.0493534,0.09448166,0.4387269,0.31098336,-0.032794245,-0.8809313,1.1538092,-0.34246686,-0.8054926,0.40580195,0.6470609,0.48659652,0.46861532,-0.20078912,0.31007814,0.730577,0.64187455,-0.8207041,0.8201529,0.7777078,0.28314984,0.75665635,0.4801187,0.14807133,0.7679884,-0.14339736,0.2532608,1.3810599,0.47603,-0.5615804,-0.0049169585,0.2118383,-0.22649093,-0.036854018,1.5120075,1.4525889,0.02307732,0.6188332,0.58184355,0.6979111,-0.22348742,-0.9537038,1.101477,0.2993621,0.27657866,0.6282722,0.8668554,0.3214578,0.34343606,0.87722063,0.3272133,0.3968971,1.0937805,-0.6756904,0.3585678,0.96585715,0.60283786,-0.23191282,-0.6952751,0.09485717,-0.3496332
12,0.012,0.47955996,1.4657378,-0.83331656,0.04997636,0.8611826,0.7897343,0.08816095,-0.094237775,-0.17995398,1.0195094,0.3575081,0.05556193,0.5681969,-0.37337202,1.2499377,0.878769,-0.061176706,0.5270425,1.3979104,0.1870551,1.0890067,1.0533053,0.002698265,0.66807044,-0.3317796,0.41650933,0.2226828,-0.55759335,0.062008902,-0.41616046,0.086858995,0.56167,0.17788613,-0.4747273,0.61012536,-0.49938765,0.22756556,-0.31359392,0.39134446,0.32462248,-0.9905329,0.14840348,0.40234712,0.47406965,0.02939491,-0.90529114,1.248425,-0.43654257,-0.71097046,0.21332589,0.6047195,0.59279823,0.6504599,-0.4673344,0.24490806,0.9491455,0.7175861,-0.97759867,1.0071683,0.9319491,0.09823339,0.6790756,0.34911737,0.44633,0.83915955,-0.1768984,0.360675,1.3158157,0.20851158,-0.5489427,-0.047608655,0.5194009,-0.22206065,0.09874113,1.754483,1.3522774,-0.018383685,0.6310459,0.5875078,0.9761903,-0.40794274,-1.0843203,1.5002165,0.12887238,0.5172675,0.6951498,0.90283394,0.44779932,0.29009813,0.81687903,0.44297782,0.360764,1.0919025,-0.8444919,0.39073777,0.9891715,0.72183275,-0.21095712,-0.69028294,0.26635477,-0.38143972
13,0.013,0.5619137,1.5128576,-0.7613325,0.06829042,0.88913584,0.46125424,0.17645119,-0.19498159,-0.4137466,0.8742856,0.39688277,-0.14152887,0.49235266,-0.27548885,1.104672,0.9116797,0.14159083,0.7165971,1.327568,0.5148295,1.0082085,1.0668573,-0.0619733,1.0852864,-0.4693418,0.22169799,-0.094411336,-0.40151146,0.14450747,-0.2600029,0.32347798,0.53565186,0.1984714,-0.25665915,0.4400257,-0.5257743,-0.11207223,-0.22021966,0.64708227,0.046997875,-1.1758808,-0.03162877,-0.014749557,0.44177938,0.079672806,-0.8347337,1.2718836,-0.32977688,-0.6297113,0.3134914,0.6365724,0.4096776,0.7590274,-0.6034452,0.18195012,0.993844,0.48154694,-0.94974506,1.2754852,0.9709512,0.28196535,0.6548364,0.21894816,0.43258524,0.6988575,-0.43473113,0.24311727,1.2261506,0.14297837,-0.69406366,0.11523856,0.31886774,-0.07430312,-0.10761919,1.7679678,1.3657807,0.07043892,0.62890136,0.8017019,1.0281633,-0.29737255,-1.3120649,1.3295486,0.3144586,0.22107849,0.7366644,0.87135476,0.65030324,0.17799489,1.0541564,0.2725485,0.37666738,0.99976623,-1.2660037,0.19843805,1.3051517,0.67442906,-0.1825653,-0.64708185,0.529693,-0.31053036
14,0.014,0.54154164,1.5996093,-0.77018726,0.16250175,0.46571982,0.4024145,0.41392058,0.10551934,-0.4889765,0.9915793,0.5196706,-0.4526419,0.6528405,-0.22668639,1.1901711,1.0710903,0.027627736,0.97807586,1.3430146,0.716533,0.8855024,1.3707258,-0.011900717,1.0424752,-0.63147175,0.51992077,-0.053365067,-0.20064956,0.18227452,-0.02008103,0.2395674,0.5454474,0.24346346,-0.15328088,0.55966353,-0.56728864,-0.09570036,-0.30563635,0.635453,-0.2836684,-1.178109,-0.13110697,-0.30843103,0.36540815,0.21276146,-0.6967766,1.3705418,-0.1060981,-0.67178035,0.55468667,0.51262134,0.4280767,0.8194853,-0.594405,-0.15319163,1.1529535,0.24503598,-0.86477023,1.30276,0.91221136,0.5019128,0.79869986,-0.027234811,0.44982538,0.4905822,-0.58535707,0.06727233,1.2147843,0.027427316,-1.2114413,0.2966004,0.29074186,-0.06203738,-0.6091365,2.0487084,1.7172664,0.21167132,0.81829935,0.41175663,1.0436866,-0.11091452,-1.5306528,1.3248856,0.31739718,0.21202293,0.7715156,1.0453744,0.6791069,0.19777444,1.0715925,0.46862307,-0.031917036,1.088053,-1.2460781,-0.1678722,1.3922505,0.53506696,-0.12630576,-0.8642373,0.4818642,-0.17334671
