,Hurst,Distribution,ACF_annealed,wACF_annealed,R2 Score,ACF_quenched,wACF_quenched
RNN,& 0.455 $\pm$ 0.098,& 0.327 $\pm$ 0.012,&1.889,&0.829,& -1.524 $\pm$ 0.183,& 1.752 $\pm$ 0.011,& 1.752 $\pm$ 0.011
SDE,& 0.451 $\pm$ 0.098,& 0.223 $\pm$ 0.024,&1.900,&0.842,& -3.471 $\pm$ 0.832,& 2.132 $\pm$ 0.037,& 2.132 $\pm$ 0.037
fSDE,& 0.590 $\pm$ 0.137,& 0.261 $\pm$ 0.018,&1.894,&0.833,& -1.053 $\pm$ 0.249,& 2.037 $\pm$ 0.052,& 2.037 $\pm$ 0.052
ArmaSDE,& 0.434 $\pm$ 0.106,& 0.235 $\pm$ 0.030,&1.901,&0.842,& -3.783 $\pm$ 0.958,& 2.128 $\pm$ 0.052,& 2.128 $\pm$ 0.052
NNKernelArmaSDE,& 0.396 $\pm$ 0.139,& 0.152 $\pm$ 0.038,&2.018,&0.972,& -2.371 $\pm$ 0.653,& 2.131 $\pm$ 0.136,& 2.131 $\pm$ 0.136
Original,& 0.396,& -,& -,& -,& -,& -,& -
