,Hurst,Distribution,ACF_annealed,wACF_annealed,R2 Score,ACF_quenched,wACF_quenched
RNN,& 0.476 $\pm$ 0.115,& 0.156 $\pm$ 0.025,&1.262,&0.673,& -1.052 $\pm$ 0.171,& 0.925 $\pm$ 0.028,& 0.925 $\pm$ 0.028
SDE,& 0.443 $\pm$ 0.137,& 0.185 $\pm$ 0.080,&1.585,&1.037,& -0.961 $\pm$ 0.402,& 1.108 $\pm$ 0.539,& 1.108 $\pm$ 0.539
fSDE,& 0.662 $\pm$ 0.165,& 0.395 $\pm$ 0.174,&3.008,&2.176,& -0.867 $\pm$ 0.674,& 2.309 $\pm$ 1.409,& 2.309 $\pm$ 1.409
ArmaSDE,& 0.453 $\pm$ 0.116,& 0.157 $\pm$ 0.027,&1.265,&0.680,& -1.116 $\pm$ 0.231,& 0.920 $\pm$ 0.031,& 0.920 $\pm$ 0.031
NNKernelArmaSDE,& 0.443 $\pm$ 0.151,& 0.233 $\pm$ 0.112,&1.711,&1.068,& -1.236 $\pm$ 0.642,& 1.338 $\pm$ 0.492,& 1.338 $\pm$ 0.492
Original,& 0.373,& -,& -,& -,& -,& -,& -
