,Hurst,Distribution,ACF_annealed,wACF_annealed,R2 Score,ACF_quenched,wACF_quenched
RNN,& 0.458 $\pm$ 0.122,& 0.512 $\pm$ 0.028,&1.201,&0.604,& -0.882 $\pm$ 0.148,& 0.845 $\pm$ 0.028,& 0.845 $\pm$ 0.028
SDE,& 0.483 $\pm$ 0.120,& 1.238 $\pm$ 0.022,&1.201,&0.609,& -0.051 $\pm$ 0.040,& 0.848 $\pm$ 0.030,& 0.848 $\pm$ 0.030
fSDE,& 0.549 $\pm$ 0.161,& 1.358 $\pm$ 0.028,&1.350,&0.769,& -0.035 $\pm$ 0.023,& 0.940 $\pm$ 0.348,& 0.940 $\pm$ 0.348
ArmaSDE,& 0.387 $\pm$ 0.125,& 0.505 $\pm$ 0.043,&1.241,&0.640,& -0.476 $\pm$ 0.122,& 0.880 $\pm$ 0.127,& 0.880 $\pm$ 0.127
NNKernelArmaSDE,& 0.434 $\pm$ 0.135,& 0.426 $\pm$ 0.026,&1.195,&0.657,& -0.977 $\pm$ 0.187,& 0.885 $\pm$ 0.089,& 0.885 $\pm$ 0.089
Original,& 0.390,& -,& -,& -,& -,& -,& -
