t,x
255,-1.7470554372419118
256,-1.786666242710906
257,-1.7819425691600268
258,-1.7953660060968737
259,-1.7948368443646499
260,-1.7949904778561783
261,-1.799752441667053
262,-1.8190750512867002
263,-1.827386702239668
264,-1.861001292721491
265,-1.8591458312531355
266,-1.8439223394600055
267,-1.846421596227351
268,-1.8183174916961213
269,-1.834350361010281
270,-1.8479830799919348
271,-1.829842077630238
272,-1.8563172784932298
273,-1.8531300610642447
274,-1.8098607041579795
275,-1.7467549524483945
276,-1.7460669663454889
277,-1.7135861800097463
278,-1.7056735721282343
279,-1.6851468325311665
280,-1.685375282900507
281,-1.6818484377853946
282,-1.681257840937841
283,-1.6803367505534905
284,-1.6425281001075336
285,-1.6431271842266908
286,-1.6477283994127123
287,-1.6356118471250942
288,-1.6530537719299707
289,-1.7736688215391738
290,-1.7328888893062804
291,-1.8492381115301018
292,-1.8671415618440825
293,-1.9293360677523357
294,-1.9870479229570874
295,-2.0389910309270594
296,-2.0610774075012284
297,-2.1146407849858027
298,-2.118892515210074
299,-2.1354147064742732
300,-2.1331908945262543
301,-2.1412827896726436
302,-2.129514411706771
303,-2.094181540857166
304,-2.2530972291368534
305,-2.2192473051990733
306,-2.1794511967778316
307,-2.2162408595013643
308,-2.1740955406072255
309,-2.146575950476152
310,-2.245039442287608
311,-2.247511101273769
312,-2.2606699198005917
313,-2.2518237057378707
314,-2.248411768187701
315,-2.3549272195276068
316,-2.3139042591024443
317,-2.313892137368601
318,-2.2877598794967957
319,-2.2905686830464393
320,-2.213083310447056
321,-2.173053722202546
322,-1.989420320617669
323,-1.9800810375294515
324,-1.9094252480639173
325,-1.9159938245783021
326,-1.9080180128767845
327,-1.934787766190733
328,-1.9244083042622842
329,-1.9625300968713273
330,-1.931313684111512
331,-1.9297792212706293
332,-1.9291099622646901
333,-1.9430608910174871
334,-1.960470654267187
335,-1.9624210853806248
336,-1.9788875195405808
337,-1.9731772436169106
338,-1.9694536889552583
339,-1.9871297937905554
340,-2.028963929034727
341,-2.0610594036790215
342,-2.335440019202835
343,-2.416629611578759
344,-2.6010092934852227
345,-2.6050959681025034
346,-2.6701684385754128
347,-2.6907746235869006
348,-2.571357719977383
349,-2.398756501999786
350,-2.4540231706460007
351,-2.458211616307379
352,-2.43663928020335
353,-2.431610684981653
354,-2.4301605033769187
355,-2.4316914089146575
356,-2.431756390653335
357,-2.439271615228679
358,-2.455081634764149
359,-2.4489026783661236
360,-2.4471692742572144
361,-2.3744116479319177
362,-2.3116025770238524
363,-2.309318507110965
364,-2.2929125462399247
365,-2.300597782264726
366,-2.3174087789606275
367,-2.2674179356508044
368,-2.216849331004729
369,-2.1997243836631037
370,-2.1817687903041603
371,-2.184813911002452
372,-2.1566196213239444
373,-2.157728415241184
374,-2.1393951137666884
375,-2.138842988508542
376,-2.134962273805566
377,-2.122522004945583
378,-2.1416459912538635
379,-2.1184948094093206
380,-2.1085268719232855
381,-2.1379192548929056
382,-2.190549698127281
383,-2.1932616052410374
384,-2.2026722391754805
385,-2.202620821935118
386,-2.206976263046815
387,-2.252695881380309
388,-2.497104370122971
389,-2.5957521243175146
390,-2.5043427543819257
391,-2.50610877579526
392,-2.5423031634451574
393,-2.4810809379389736
394,-2.5103975086543606
395,-2.5104456529392554
396,-2.4783201452807515
397,-2.458363347521941
398,-2.460797493619506
399,-2.498002631969772
400,-2.532199514510742
401,-2.553425898884547
402,-2.5512522742272017
403,-2.5342933329534416
404,-2.5289768431724626
405,-2.5004366546488836
406,-2.4541594093614316
407,-2.4518374884254297
408,-2.4316691945004627
409,-2.4129657243005407
410,-2.5280958190448506
411,-2.439171612988478
412,-2.285412287822321
413,-2.349441367339494
414,-2.276613327794398
415,-2.1862957154933467
416,-2.200748959225029
417,-2.2459003536376287
418,-2.080861528988765
419,-2.075943847028829
420,-2.039333622677571
421,-1.979575777269433
422,-1.9426377890455653
423,-1.8927754264720202
424,-1.882806956441674
425,-1.8598777835072642
426,-1.872619214164433
427,-1.8657328968094309
428,-1.8712810365653956
429,-1.8927617287062994
430,-1.807296473058064
431,-1.8146331571728718
432,-1.9009262567075604
433,-1.8932529478840605
434,-1.9100727854663315
435,-1.9454467104349031
436,-1.9439653106832528
437,-1.945111186962058
