t,H=0.1,H=0.2,H=0.3,H=0.4
1.700000000000000122e-02,9.832021039776936977e-01,9.722430284851418802e-01,1.010067358426366413e+00,9.927020956400234297e-01
1.800000000000000211e-02,9.394562663876409037e-01,1.005015357559619016e+00,9.949570143584793858e-01,9.933985677283173610e-01
1.899999999999999953e-02,9.267810125848476854e-01,9.752617744614010542e-01,9.936587095614842768e-01,1.002593327350860930e+00
2.000000000000000042e-02,9.713511096667607481e-01,1.023725404346448764e+00,9.890824793390585734e-01,1.014012595205938672e+00
2.100000000000000130e-02,9.594233988074345465e-01,1.040772423292882110e+00,1.009189350727078160e+00,1.001560757997594919e+00
2.199999999999999872e-02,9.069707984487490604e-01,9.929276102682474958e-01,1.012504599659591165e+00,1.008945642447239166e+00
2.299999999999999961e-02,8.925715467991571783e-01,1.013975455198741882e+00,9.946307862882475259e-01,1.014626738283204821e+00
2.400000000000000050e-02,9.658729311818370356e-01,1.000521227981449268e+00,1.005392531063278971e+00,1.025491595133434242e+00
2.500000000000000139e-02,9.479717770004698618e-01,9.555165528106241979e-01,9.841508470580173640e-01,1.020750541349941587e+00
2.600000000000000228e-02,9.367170045794532829e-01,9.718408855046269945e-01,9.940907249999449968e-01,1.008960997839657647e+00
2.699999999999999969e-02,8.833958998902027293e-01,9.257794242808744523e-01,9.839132315990081201e-01,1.003127694966049255e+00
2.800000000000000058e-02,1.006337228496473335e+00,9.554148881023124540e-01,9.865580456601711345e-01,9.979466011383322233e-01
2.900000000000000147e-02,1.078339217741123957e+00,9.447089867062476998e-01,9.812195729143956546e-01,9.987675350417237752e-01
2.999999999999999889e-02,9.906314072009794192e-01,9.441426399830467053e-01,1.005360212514715190e+00,1.001623212275883246e+00
3.099999999999999978e-02,9.958380644016225913e-01,9.197102826947952670e-01,9.914816046964692875e-01,9.933352928742322785e-01
3.200000000000000067e-02,9.653867634791518659e-01,9.123648077123378552e-01,9.841403755020337041e-01,9.990397917875393219e-01
3.300000000000000155e-02,9.898709785202284284e-01,9.174512652419641867e-01,1.007647806918852584e+00,9.959077195920790215e-01
3.400000000000000244e-02,9.031615114231035246e-01,8.867736322249797354e-01,9.882264207639328557e-01,9.990375837918170632e-01
3.500000000000000333e-02,9.887232245325150437e-01,9.129036967354177134e-01,9.650262742711077646e-01,9.872897825871415067e-01
3.600000000000000422e-02,9.966148539430094155e-01,8.880296960922877680e-01,9.607992060911867416e-01,9.956531841939775251e-01
3.699999999999999817e-02,9.316765142139900036e-01,8.456343235522403301e-01,9.703722473210315558e-01,1.000360314295028585e+00
3.799999999999999906e-02,9.834422185767239810e-01,8.618974534199512760e-01,9.679041977756523973e-01,9.983483396752109718e-01
3.899999999999999994e-02,1.012070446644065536e+00,8.544903068403674196e-01,9.809609673320442980e-01,9.997261953848581850e-01
4.000000000000000083e-02,9.053648728985665972e-01,8.893901781696786912e-01,9.943140272151115289e-01,1.004182131956590673e+00
4.100000000000000172e-02,9.919025863400963150e-01,8.531683983434712459e-01,9.840405161137715240e-01,1.005599677108657941e+00
4.200000000000000261e-02,1.007645297555285646e+00,8.437808198928636871e-01,9.724891021810939673e-01,1.004605557222869594e+00
4.300000000000000350e-02,1.042835450249866014e+00,8.510230860123476626e-01,9.755298762857965711e-01,9.950301649735425746e-01
4.399999999999999745e-02,1.010079947437851455e+00,8.820291976881892149e-01,9.999581181585281975e-01,9.987806341361548101e-01
4.499999999999999833e-02,1.081451088258460036e+00,8.390123575677816969e-01,1.009550073063210096e+00,9.994963396357299246e-01
4.599999999999999922e-02,1.119582209183695332e+00,8.641036366488379361e-01,1.003487178056951201e+00,1.003926554974400309e+00
4.700000000000000011e-02,1.031045592624668883e+00,8.820406938636725647e-01,1.010067547788226161e+00,1.008918422009673410e+00
4.800000000000000100e-02,1.022989526095700485e+00,8.905564869413697959e-01,1.004439259646292992e+00,1.005296296207144113e+00
4.900000000000000189e-02,9.962886264357191379e-01,8.839828632100362737e-01,9.810932792654757373e-01,1.005941369648216677e+00
5.000000000000000278e-02,1.056482809657963262e+00,8.576895162645219450e-01,9.797068397232147063e-01,1.010994114870042537e+00
5.100000000000000366e-02,1.055844234231391843e+00,8.762066209463688082e-01,9.678624588274701290e-01,1.002473216951500712e+00
5.200000000000000455e-02,1.005226375543182282e+00,8.762221327530546056e-01,9.701403057822773901e-01,1.015850059650876380e+00
5.299999999999999850e-02,1.040162350552580772e+00,8.551565917758545687e-01,9.769322189349657348e-01,1.009688614073296575e+00
5.399999999999999939e-02,1.018717525011197944e+00,8.504683080773406401e-01,9.760982198570519186e-01,1.009215713267130443e+00
5.500000000000000028e-02,1.017307227804820746e+00,8.605657735939276076e-01,9.638746880743090939e-01,1.004843408885401912e+00
5.600000000000000117e-02,1.019927456323725501e+00,8.639361081038381407e-01,9.697116505544061127e-01,1.002566206934903281e+00
5.700000000000000205e-02,1.027940786662975503e+00,8.609325161230808598e-01,9.947407950726825376e-01,1.001753387498902415e+00
