t,alpha=-2,alpha=-10,alpha=-20,alpha=-50,alpha=-100
2.400000000000000050e-02,9.917160107231817179e-01,7.630452154958465849e-01,5.698211658756008324e-01,3.808691499759088717e-01,1.013346794911767768e-01
2.500000000000000139e-02,9.723502181156584712e-01,8.250553954015693581e-01,5.318471977335097467e-01,3.484897408114790429e-01,5.797445681982352217e-02
2.600000000000000228e-02,1.004683536357565687e+00,8.088121298425594574e-01,5.377851603058951824e-01,3.369083609589036410e-01,8.500531349360507249e-02
2.699999999999999969e-02,1.047685103876101254e+00,8.156016325723524085e-01,4.888264937700181334e-01,3.053391973092570710e-01,5.842130634393038341e-02
2.800000000000000058e-02,1.004787936862538755e+00,8.176383772288228213e-01,4.793274834806615092e-01,3.189934344477237671e-01,1.670871757898553800e-02
2.900000000000000147e-02,1.026705854255873129e+00,7.844086541488934916e-01,4.814508430182997123e-01,3.403834360959969163e-01,2.781335865267219737e-02
2.999999999999999889e-02,1.025626453370123370e+00,8.000110728781509861e-01,4.890537242188577882e-01,4.034392210069348006e-01,4.097590821807606254e-02
3.099999999999999978e-02,9.805549382628231392e-01,7.868186779411847631e-01,4.581791735490715056e-01,3.856063729211029467e-01,9.607306314054436802e-02
3.200000000000000067e-02,1.005148754225690721e+00,7.509872173964454722e-01,3.887087866289925531e-01,3.854924928955001384e-01,5.717866314432388380e-02
3.300000000000000155e-02,1.031700382514420644e+00,7.728263717776447939e-01,3.220189283390492152e-01,4.092138048107901716e-01,4.901044899866091598e-02
3.400000000000000244e-02,1.055524730291210744e+00,7.872308658276946369e-01,3.432659094545441603e-01,3.173556613712265051e-01,8.396745827913106031e-02
3.500000000000000333e-02,1.100740641784961005e+00,8.165939671013003887e-01,3.747146045468412456e-01,2.773587048475822936e-01,7.556806402362380159e-02
3.600000000000000422e-02,1.104641649591157071e+00,8.249987714897840663e-01,3.734962685499751411e-01,2.581503646522388395e-01,1.455106176472396873e-01
3.699999999999999817e-02,1.186037379257488533e+00,7.564798109501651435e-01,3.460034649812105401e-01,2.896327466946247431e-01,1.642437013626341924e-01
3.799999999999999906e-02,1.178068182193061419e+00,7.277823366405887784e-01,3.385583980229484036e-01,2.713913491324665417e-01,1.732173567401558700e-01
3.899999999999999994e-02,1.166199294852030333e+00,6.917000152223113929e-01,3.257330117920785861e-01,2.346060718133032852e-01,1.699523483367288146e-01
