,Hurst,Distribution,ACF_annealed,wACF_annealed,R2 Score,ACF_quenched,wACF_quenched
RNN,& 0.463 $\pm$ 0.120,& 0.652 $\pm$ 0.023,&2.069,&1.343,& -6.973 $\pm$ 0.614,& 1.888 $\pm$ 0.020,& 1.888 $\pm$ 0.020
SDE,& 0.993 $\pm$ 0.098,& 0.318 $\pm$ 0.018,&2.186,&1.417,& -2.320 $\pm$ 0.255,& 1.827 $\pm$ 0.052,& 1.827 $\pm$ 0.052
fSDE,& 0.921 $\pm$ 0.097,& 0.294 $\pm$ 0.020,&2.319,&1.533,& -2.068 $\pm$ 0.255,& 1.894 $\pm$ 0.102,& 1.894 $\pm$ 0.102
ArmaSDE,& 1.139 $\pm$ 0.070,& 0.105 $\pm$ 0.034,&2.304,&1.472,& -0.751 $\pm$ 0.177,& 1.891 $\pm$ 0.110,& 1.891 $\pm$ 0.110
NNKernelArmaSDE,& 0.801 $\pm$ 0.098,& 0.124 $\pm$ 0.026,&2.225,&1.439,& -1.896 $\pm$ 0.262,& 1.858 $\pm$ 0.111,& 1.858 $\pm$ 0.111
Original,& 1.066,& -,& -,& -,& -,& -,& -
