,Hurst,Distribution,ACF_annealed,wACF_annealed,R2 Score,ACF_quenched,wACF_quenched
ArmaSDE,& 0.546 $\pm$ 0.164,& 1.421 $\pm$ 0.100,&2.789,&1.988,& -0.033 $\pm$ 0.033,& 2.016 $\pm$ 1.390,& 2.016 $\pm$ 1.390
Original,& 0.322,& -,& -,& -,& -,& -,& -
