,Hurst,Distribution,ACF_annealed,wACF_annealed,R2 Score,ACF_quenched,wACF_quenched
RNN,& 0.483 $\pm$ 0.177,& 0.492 $\pm$ 0.046,&1.105,&0.476,& -0.945 $\pm$ 0.299,& 0.675 $\pm$ 0.054,& 0.675 $\pm$ 0.054
SDE,& 0.661 $\pm$ 0.198,& 0.490 $\pm$ 0.042,&1.158,&0.503,& -0.668 $\pm$ 0.381,& 0.717 $\pm$ 0.108,& 0.717 $\pm$ 0.108
fSDE,& 0.671 $\pm$ 0.181,& 0.526 $\pm$ 0.067,&1.175,&0.551,& -0.536 $\pm$ 0.318,& 0.756 $\pm$ 0.304,& 0.756 $\pm$ 0.304
ArmaSDE,& 0.618 $\pm$ 0.177,& 0.547 $\pm$ 0.063,&1.243,&0.587,& -0.744 $\pm$ 0.502,& 0.998 $\pm$ 0.346,& 0.998 $\pm$ 0.346
NNKernelArmaSDE,& 0.557 $\pm$ 0.199,& 0.507 $\pm$ 0.055,&1.200,&0.551,& -0.663 $\pm$ 0.510,& 0.806 $\pm$ 0.213,& 0.806 $\pm$ 0.213
Original,& 0.666,& -,& -,& -,& -,& -,& -
