,Hurst,Distribution,ACF_annealed,wACF_annealed,R2 Score,ACF_quenched,wACF_quenched
ArmaSDE,& 0.949 $\pm$ 0.087,& 0.163 $\pm$ 0.043,&1.238,&0.722,& -0.889 $\pm$ 0.382,& 0.903 $\pm$ 0.084,& 0.903 $\pm$ 0.084
Original,& 0.839,& -,& -,& -,& -,& -,& -
