,Hurst,Distribution,ACF_annealed,wACF_annealed,R2 Score,ACF_quenched,wACF_quenched
RNN,& 0.463 $\pm$ 0.121,& 0.475 $\pm$ 0.024,&1.217,&0.666,& -1.139 $\pm$ 0.168,& 0.864 $\pm$ 0.026,& 0.864 $\pm$ 0.026
SDE,& 0.489 $\pm$ 0.157,& 0.567 $\pm$ 0.199,&1.995,&1.279,& -0.513 $\pm$ 0.237,& 1.424 $\pm$ 0.906,& 1.424 $\pm$ 0.906
fSDE,& 0.581 $\pm$ 0.130,& 1.186 $\pm$ 0.069,&1.429,&0.845,& -0.069 $\pm$ 0.037,& 1.037 $\pm$ 0.419,& 1.037 $\pm$ 0.419
ArmaSDE,& 0.420 $\pm$ 0.119,& 0.414 $\pm$ 0.026,&1.226,&0.666,& -0.867 $\pm$ 0.171,& 0.874 $\pm$ 0.069,& 0.874 $\pm$ 0.069
Original,& 0.455,& -,& -,& -,& -,& -,& -
