,Hurst,Distribution,ACF_annealed,wACF_annealed,R2 Score,ACF_quenched,wACF_quenched
RNN,& 0.476 $\pm$ 0.126,& 0.327 $\pm$ 0.027,&1.212,&0.609,& -0.957 $\pm$ 0.139,& 0.876 $\pm$ 0.028,& 0.876 $\pm$ 0.028
SDE,& 0.481 $\pm$ 0.129,& 0.341 $\pm$ 0.038,&1.296,&0.707,& -1.099 $\pm$ 0.343,& 0.932 $\pm$ 0.194,& 0.932 $\pm$ 0.194
fSDE,& 0.595 $\pm$ 0.140,& 0.487 $\pm$ 0.035,&1.222,&0.618,& -0.438 $\pm$ 0.110,& 0.885 $\pm$ 0.028,& 0.885 $\pm$ 0.028
ArmaSDE,& 0.483 $\pm$ 0.138,& 0.327 $\pm$ 0.020,&1.217,&0.614,& -1.108 $\pm$ 0.198,& 0.874 $\pm$ 0.029,& 0.874 $\pm$ 0.029
NNKernelArmaSDE,& 0.381 $\pm$ 0.163,& 0.398 $\pm$ 0.065,&1.639,&1.028,& -1.180 $\pm$ 0.473,& 1.360 $\pm$ 0.360,& 1.360 $\pm$ 0.360
Original,& 0.469,& -,& -,& -,& -,& -,& -
