,Hurst,Distribution,ACF_annealed,wACF_annealed,R2 Score,ACF_quenched,wACF_quenched
RNN,& 0.444 $\pm$ 0.107,& 1.741 $\pm$ 0.009,&1.645,&1.125,& -212.765 $\pm$ 9.540,& 1.456 $\pm$ 0.012,& 1.456 $\pm$ 0.012
SDE,& 0.581 $\pm$ 0.127,& 1.396 $\pm$ 0.104,&4.233,&3.140,& -12.782 $\pm$ 10.883,& 3.575 $\pm$ 1.986,& 3.575 $\pm$ 1.986
fSDE,& 0.607 $\pm$ 0.137,& 1.101 $\pm$ 0.044,&1.801,&1.267,& -1.441 $\pm$ 0.429,& 1.505 $\pm$ 0.327,& 1.505 $\pm$ 0.327
ArmaSDE,& 0.606 $\pm$ 0.092,& 0.942 $\pm$ 0.040,&2.347,&1.641,& -0.668 $\pm$ 0.228,& 2.065 $\pm$ 0.321,& 2.065 $\pm$ 0.321
Original,& 0.750,& -,& -,& -,& -,& -,& -
