,Hurst,Distribution,ACF_annealed,wACF_annealed,R2 Score,ACF_quenched,wACF_quenched
ArmaSDE,& 0.489 $\pm$ 0.115,& 0.203 $\pm$ 0.039,&1.358,&0.780,& -0.921 $\pm$ 0.263,& 1.038 $\pm$ 0.151,& 1.038 $\pm$ 0.151
Original,& 0.698,& -,& -,& -,& -,& -,& -
