,Hurst,Distribution,ACF_annealed,wACF_annealed,R2 Score,ACF_quenched,wACF_quenched
ArmaSDE,& 0.519 $\pm$ 0.170,& 0.281 $\pm$ 0.120,&1.851,&1.229,& -0.927 $\pm$ 0.251,& 1.455 $\pm$ 0.632,& 1.455 $\pm$ 0.632
Original,& 0.557,& -,& -,& -,& -,& -,& -
