,Hurst,Distribution,ACF_annealed,wACF_annealed,R2 Score,ACF_quenched,wACF_quenched
RNN,& 0.439 $\pm$ 0.112,& 0.555 $\pm$ 0.026,&1.251,&0.735,& -0.760 $\pm$ 0.131,& 0.894 $\pm$ 0.031,& 0.894 $\pm$ 0.031
SDE,& 0.490 $\pm$ 0.137,& 0.724 $\pm$ 0.065,&1.310,&0.786,& -0.214 $\pm$ 0.085,& 0.926 $\pm$ 0.125,& 0.926 $\pm$ 0.125
fSDE,& 0.579 $\pm$ 0.155,& 1.670 $\pm$ 0.013,&1.426,&0.876,& -0.007 $\pm$ 0.009,& 0.987 $\pm$ 0.443,& 0.987 $\pm$ 0.443
ArmaSDE,& 0.437 $\pm$ 0.188,& 0.654 $\pm$ 0.159,&2.090,&1.388,& -0.699 $\pm$ 0.302,& 1.606 $\pm$ 0.758,& 1.606 $\pm$ 0.758
NNKernelArmaSDE,& 0.500 $\pm$ 0.175,& 0.957 $\pm$ 0.156,&1.796,&1.166,& -0.117 $\pm$ 0.066,& 1.296 $\pm$ 0.693,& 1.296 $\pm$ 0.693
Original,& 0.332,& -,& -,& -,& -,& -,& -
