,Hurst,Distribution,ACF_annealed,wACF_annealed,R2 Score,ACF_quenched,wACF_quenched
RNN,& 0.461 $\pm$ 0.138,& 0.186 $\pm$ 0.023,&1.225,&0.670,& -0.821 $\pm$ 0.146,& 0.880 $\pm$ 0.031,& 0.880 $\pm$ 0.031
SDE,& 0.442 $\pm$ 0.125,& 0.201 $\pm$ 0.032,&1.235,&0.672,& -1.024 $\pm$ 0.350,& 0.883 $\pm$ 0.035,& 0.883 $\pm$ 0.035
fSDE,& 0.594 $\pm$ 0.137,& 0.205 $\pm$ 0.045,&1.255,&0.700,& -0.818 $\pm$ 0.250,& 0.898 $\pm$ 0.114,& 0.898 $\pm$ 0.114
ArmaSDE,& 0.575 $\pm$ 0.154,& 0.306 $\pm$ 0.083,&2.159,&1.724,& -0.682 $\pm$ 0.554,& 1.692 $\pm$ 0.613,& 1.692 $\pm$ 0.613
NNKernelArmaSDE,& 0.439 $\pm$ 0.151,& 0.223 $\pm$ 0.033,&1.254,&0.687,& -1.069 $\pm$ 0.369,& 0.900 $\pm$ 0.057,& 0.900 $\pm$ 0.057
Original,& 0.665,& -,& -,& -,& -,& -,& -
