,Hurst,Distribution,ACF_annealed,wACF_annealed,R2 Score,ACF_quenched,wACF_quenched
RNN,& 0.468 $\pm$ 0.102,& 0.744 $\pm$ 0.011,&2.479,&1.269,& -2.940 $\pm$ 0.277,& 2.372 $\pm$ 0.012,& 2.372 $\pm$ 0.012
SDE,& 0.464 $\pm$ 0.121,& 0.277 $\pm$ 0.042,&2.609,&1.343,& -5.410 $\pm$ 1.291,& 2.652 $\pm$ 0.159,& 2.652 $\pm$ 0.159
fSDE,& 0.575 $\pm$ 0.130,& 0.277 $\pm$ 0.128,&2.893,&1.514,& -1.616 $\pm$ 0.435,& 2.616 $\pm$ 0.507,& 2.616 $\pm$ 0.507
ArmaSDE,& 0.509 $\pm$ 0.109,& 0.712 $\pm$ 0.131,&3.086,&1.801,& -0.470 $\pm$ 0.223,& 2.830 $\pm$ 0.643,& 2.830 $\pm$ 0.643
NNKernelArmaSDE,& 0.451 $\pm$ 0.146,& 0.282 $\pm$ 0.041,&2.915,&1.573,& -5.841 $\pm$ 1.361,& 2.721 $\pm$ 0.442,& 2.721 $\pm$ 0.442
Original,& 0.328,& -,& -,& -,& -,& -,& -
