,Hurst,Distribution,ACF_annealed,wACF_annealed,R2 Score,ACF_quenched,wACF_quenched
RNN,& 0.582 $\pm$ 0.142,& 0.522 $\pm$ 0.024,&1.237,&0.698,& -0.899 $\pm$ 0.164,& 0.899 $\pm$ 0.046,& 0.899 $\pm$ 0.046
SDE,& 0.475 $\pm$ 0.124,& 0.901 $\pm$ 0.036,&1.399,&0.875,& -0.151 $\pm$ 0.068,& 0.966 $\pm$ 0.436,& 0.966 $\pm$ 0.436
fSDE,& 0.578 $\pm$ 0.144,& 1.197 $\pm$ 0.029,&1.338,&0.821,& -0.062 $\pm$ 0.035,& 0.937 $\pm$ 0.304,& 0.937 $\pm$ 0.304
ArmaSDE,& 0.444 $\pm$ 0.130,& 0.506 $\pm$ 0.066,&1.451,&0.902,& -0.953 $\pm$ 0.356,& 1.098 $\pm$ 0.295,& 1.098 $\pm$ 0.295
NNKernelArmaSDE,& 0.535 $\pm$ 0.147,& 0.614 $\pm$ 0.219,&2.414,&1.684,& -0.857 $\pm$ 0.504,& 1.686 $\pm$ 1.222,& 1.686 $\pm$ 1.222
Original,& 0.278,& -,& -,& -,& -,& -,& -
