,Hurst,Distribution,ACF_annealed,wACF_annealed,R2 Score,ACF_quenched,wACF_quenched
RNN,& 0.469 $\pm$ 0.123,& 0.367 $\pm$ 0.027,&1.233,&0.669,& -1.037 $\pm$ 0.150,& 0.885 $\pm$ 0.030,& 0.885 $\pm$ 0.030
SDE,& 0.469 $\pm$ 0.131,& 0.344 $\pm$ 0.044,&1.377,&0.817,& -1.002 $\pm$ 0.249,& 0.963 $\pm$ 0.380,& 0.963 $\pm$ 0.380
fSDE,& 0.571 $\pm$ 0.144,& 0.378 $\pm$ 0.060,&1.367,&0.774,& -0.925 $\pm$ 0.224,& 1.031 $\pm$ 0.322,& 1.031 $\pm$ 0.322
ArmaSDE,& 0.435 $\pm$ 0.120,& 0.335 $\pm$ 0.047,&1.300,&0.726,& -0.962 $\pm$ 0.217,& 0.921 $\pm$ 0.255,& 0.921 $\pm$ 0.255
NNKernelArmaSDE,& 0.477 $\pm$ 0.132,& 0.345 $\pm$ 0.037,&1.306,&0.725,& -0.967 $\pm$ 0.243,& 0.932 $\pm$ 0.184,& 0.932 $\pm$ 0.184
Original,& 0.156,& -,& -,& -,& -,& -,& -
