,Hurst,Distribution,ACF_annealed,wACF_annealed,R2 Score,ACF_quenched,wACF_quenched
RNN,& 0.541 $\pm$ 0.137,& 0.812 $\pm$ 0.028,&1.242,&0.691,& -0.806 $\pm$ 0.169,& 0.976 $\pm$ 0.074,& 0.976 $\pm$ 0.074
SDE,& 0.494 $\pm$ 0.143,& 0.388 $\pm$ 0.077,&1.362,&0.770,& -0.778 $\pm$ 0.234,& 0.957 $\pm$ 0.445,& 0.957 $\pm$ 0.445
fSDE,& 0.577 $\pm$ 0.135,& 1.164 $\pm$ 0.029,&1.290,&0.723,& -0.067 $\pm$ 0.034,& 0.889 $\pm$ 0.339,& 0.889 $\pm$ 0.339
ArmaSDE,& 0.437 $\pm$ 0.110,& 0.435 $\pm$ 0.028,&1.217,&0.659,& -0.483 $\pm$ 0.107,& 0.852 $\pm$ 0.095,& 0.852 $\pm$ 0.095
NNKernelArmaSDE,& 0.463 $\pm$ 0.139,& 0.385 $\pm$ 0.050,&1.336,&0.798,& -0.788 $\pm$ 0.255,& 0.922 $\pm$ 0.328,& 0.922 $\pm$ 0.328
Original,& 0.201,& -,& -,& -,& -,& -,& -
