,Hurst,Distribution,ACF_annealed,wACF_annealed,R2 Score,ACF_quenched,wACF_quenched
RNN,& 0.437 $\pm$ 0.126,& 0.359 $\pm$ 0.026,&1.224,&0.699,& -0.803 $\pm$ 0.148,& 0.874 $\pm$ 0.028,& 0.874 $\pm$ 0.028
SDE,& 0.598 $\pm$ 0.121,& 0.253 $\pm$ 0.028,&1.375,&0.797,& -1.041 $\pm$ 0.211,& 1.022 $\pm$ 0.136,& 1.022 $\pm$ 0.136
fSDE,& 0.621 $\pm$ 0.130,& 0.384 $\pm$ 0.149,&2.216,&1.515,& -0.925 $\pm$ 0.427,& 1.695 $\pm$ 0.954,& 1.695 $\pm$ 0.954
ArmaSDE,& 0.396 $\pm$ 0.107,& 0.248 $\pm$ 0.023,&1.224,&0.702,& -0.947 $\pm$ 0.186,& 0.875 $\pm$ 0.040,& 0.875 $\pm$ 0.040
NNKernelArmaSDE,& 0.432 $\pm$ 0.128,& 0.247 $\pm$ 0.025,&1.231,&0.700,& -0.897 $\pm$ 0.170,& 0.870 $\pm$ 0.031,& 0.870 $\pm$ 0.031
Original,& 0.386,& -,& -,& -,& -,& -,& -
